checkpoint,opponent_type,mean_reward,std_reward,win_rate,std_win_rate,mean_length,std_length
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep27000.pth,random,5.6811011114951455,5.7598979697657136,0.667,0.4712865370451399,110.569,101.99697661695664
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep27000.pth,weak,9.355392270806135,2.151622414026322,0.987,0.11327400407860577,41.241,22.402609647092458
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep27000.pth,strong,6.518106417812488,6.844035680835559,0.867,0.33957473404244903,67.473,57.870884484341516
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep28000.pth,random,5.3411722760278915,5.72226105890715,0.633,0.48198651433416684,117.302,104.0499918116287
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep28000.pth,weak,9.301698973676805,2.475455077723618,0.985,0.12155245781143219,40.571,20.579916399247107
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep28000.pth,strong,7.217803644280676,6.037416529835724,0.905,0.293214938227915,61.819,48.35438179730974
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep29000.pth,random,5.830460606366154,5.223317767261149,0.664,0.47233886141201636,115.159,103.6294153172737
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep29000.pth,weak,9.44256953951889,1.7728908112089203,0.987,0.11327400407860577,38.673,24.85659009196555
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep29000.pth,strong,7.229493101331221,5.943903034192825,0.903,0.29595776725742473,61.193,50.539625552629495
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep30000.pth,random,5.963555231380797,5.35452089383257,0.684,0.46491289506745237,111.436,101.5720921513385
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep30000.pth,weak,9.4743293195508,1.599085373613434,0.993,0.08337265738837883,41.31,19.801866073681037
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep30000.pth,strong,6.794949853977765,6.624615719302311,0.886,0.317811264746862,59.345,44.9329275142406
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep31000.pth,random,5.4909040480775895,5.916231793479826,0.658,0.47437959483940706,112.25,102.56884273501383
TD3_HockeyEnv_alr0.00032_clr0.00086_gamma0.93_policyNoise0.25_noiseClip0.39_policyDelay2_polyak0.993_warmupSteps35000_a2_d2_b1_t4_c3_w0_checkpoint_ep31000.pth,weak,9.360122995875695,2.2222744364325107,0.989,0.10430244484191156,40.418,14.622834061836304
