episodes,rewards,reward_std,lengths,overall_win_rate,random_wr,weak_wr,strong_wr,self_wr,q_losses,actor_losses
7450.0,7.197,14.624,149.0,0.44,0.596,0.392,0.0,0.253,0.3319798395829817,0.40509987348991205
7500.0,4.363,15.568,142.4,0.42,0.595,0.391,0.0,0.252,0.3300413087399436,0.4087521981643633
7550.0,9.791,12.494,163.56,0.42,0.596,0.39,0.0,0.25,0.3323972914959695,0.39865226030218487
7600.0,7.858,14.373,157.54,0.44,0.596,0.389,0.0,0.249,0.3245814762875958,0.4046891480918649
7650.0,5.935,16.688,169.74,0.5,0.596,0.39,0.0,0.248,0.3262756007081047,0.3993083648090657
7700.0,5.059,14.31,155.14,0.56,0.597,0.39,0.0,0.246,0.3243779040130102,0.39562515241333285
7750.0,5.929,14.551,153.4,0.48,0.597,0.389,0.0,0.245,0.3252957541988908,0.40188291295776957
7800.0,4.817,16.116,153.36,0.38,0.597,0.389,0.0,0.244,0.3319911891257624,0.39825034158415074
7850.0,6.865,14.383,155.2,0.46,0.597,0.388,0.0,0.243,0.33125114070381073,0.393744777488461
7900.0,6.963,16.117,151.34,0.5,0.597,0.389,0.0,0.243,0.326791991194058,0.39881856445153957
7950.0,6.077,15.594,165.18,0.44,0.597,0.388,0.0,0.241,0.3272933216520022,0.4008342126380276
8000.0,5.517,13.17,147.06,0.42,0.598,0.387,0.0,0.238,0.323290785195112,0.39383341513103043
8050.0,8.707,12.342,146.36,0.52,0.598,0.388,0.0,0.237,0.3319245470970747,0.4004579605021991
8100.0,7.796,13.822,145.44,0.46,0.598,0.389,0.0,0.234,0.3295428335301041,0.3975413588232198
8150.0,4.695,16.729,151.06,0.36,0.598,0.388,0.0,0.234,0.319622810949935,0.39628223087210895
8200.0,9.11,13.898,141.24,0.5,0.598,0.388,0.0,0.233,0.32261804179805526,0.39855444068033463
8250.0,8.77,11.571,145.56,0.58,0.599,0.388,0.0,0.233,0.32219983193204255,0.39323088917769927
8300.0,7.419,12.963,149.26,0.6,0.6,0.389,0.0,0.233,0.323341854486161,0.3888538391541745
8350.0,5.979,16.47,142.3,0.56,0.6,0.39,0.0,0.232,0.31423568994406825,0.39519575069951124
8400.0,11.349,12.123,148.9,0.58,0.6,0.391,0.0,0.232,0.31937103051740295,0.3894987855763996
8450.0,10.068,14.052,150.64,0.58,0.601,0.392,0.0,0.233,0.3236799020157291,0.3903695844575533
8500.0,8.006,12.922,145.68,0.54,0.601,0.392,0.0,0.233,0.3201279788623444,0.38785328672212716
8550.0,6.305,15.885,161.2,0.58,0.601,0.394,0.0,0.234,0.32176676677078825,0.3861989485191901
8600.0,7.248,15.305,148.58,0.62,0.6,0.397,0.0,0.234,0.32417719970337433,0.3812650280971503
8650.0,7.048,14.935,143.44,0.62,0.601,0.398,0.0,0.235,0.32279828713211334,0.39160198156996395
8700.0,4.337,14.938,147.68,0.56,0.601,0.399,0.0,0.236,0.32048103552676105,0.3779546115318909
8750.0,2.104,14.948,147.28,0.46,0.6,0.399,0.0,0.237,0.3229718107721947,0.3755564283662789
8800.0,6.274,13.664,136.2,0.66,0.6,0.4,0.0,0.244,0.3257709132351002,0.380222745701441
8850.0,10.499,9.664,115.56,0.78,0.601,0.403,0.0,0.253,0.3219338721399714,0.37911675030558356
8900.0,7.707,12.384,125.12,0.64,0.601,0.406,0.0,0.254,0.32294959347600194,0.37848240130537897
8950.0,5.591,14.757,139.3,0.66,0.601,0.407,0.0,0.258,0.3218498496996715,0.3701803535340192
9000.0,3.378,15.467,140.48,0.56,0.6,0.408,0.0,0.26,0.32550593208229817,0.3726647812433684
9050.0,5.891,14.272,132.7,0.68,0.6,0.411,0.0,0.261,0.32093904381392324,0.38289060238332784
9100.0,5.692,11.976,118.26,0.68,0.601,0.414,0.0,0.261,0.32374156037472673,0.3922227492081965
9150.0,2.763,14.906,124.08,0.62,0.6,0.416,0.0,0.263,0.31864912588103605,0.39994488066380485
9200.0,6.906,13.437,135.3,0.7,0.601,0.418,0.0,0.263,0.31907290443848346,0.3982024461677818
9250.0,3.515,13.174,132.3,0.58,0.601,0.419,0.0,0.263,0.32399290273233794,0.3974908536224479
9300.0,5.215,12.922,146.98,0.54,0.601,0.42,0.0,0.262,0.31882047330472557,0.38459477092474276
